Timestamp,Protocol,Payload Size (bytes),Device Active Time (ms)
70355024764300,HTTP,282,0
70355044578700,HTTP,282,0
70355059537600,HTTP,282,0
70355074581000,HTTP,282,0
70355092548600,HTTP,282,0
70355107245000,HTTP,282,0
70355121844900,HTTP,282,0
70355140856100,HTTP,282,0
70355157256400,HTTP,282,0
70355173903700,HTTP,282,0
70355194281100,HTTP,282,0
70355208748900,HTTP,282,0
70355226904300,HTTP,282,0
70355244694800,HTTP,282,0
70355259928700,HTTP,282,0
70355274751900,HTTP,282,0
70355288960800,HTTP,282,0
70355305412000,HTTP,282,0
70355320169800,HTTP,282,0
70355337933600,HTTP,282,0
70355356136300,HTTP,282,0
70355372378400,HTTP,282,0
70355387263400,HTTP,282,0
70355403275800,HTTP,282,0
70355418913100,HTTP,282,0
70355434362600,HTTP,282,0
70355461529200,HTTP,282,0
70355477175300,HTTP,282,0
70355492791800,HTTP,282,0
70355510711000,HTTP,282,0
70355525016700,HTTP,282,0
70355539239200,HTTP,282,0
70355557222700,HTTP,282,0
70355588792800,HTTP,282,0
70355603655100,HTTP,282,0
70355619065700,HTTP,282,0
70355633893300,HTTP,282,0
70355661080800,HTTP,282,0
70355675862700,HTTP,282,0
70355690516000,HTTP,282,0
70355705532400,HTTP,282,0
70355720324900,HTTP,282,0
70355735918100,HTTP,282,0
70355757874000,HTTP,282,0
70355773301000,HTTP,282,0
70355788963400,HTTP,282,0
70355803505900,HTTP,282,0
70355818550900,HTTP,282,0
70355834436500,HTTP,282,0
70355852323200,HTTP,282,0
70355872638100,HTTP,282,0
70355889960600,HTTP,282,0
70355907008100,HTTP,282,0
70355922696800,HTTP,282,0
70355942448700,HTTP,282,0
70355962209700,HTTP,282,0
70355981164600,HTTP,282,0
70356005941200,HTTP,282,0
70356024291900,HTTP,282,0
70356041154000,HTTP,282,0
70356061848400,HTTP,282,0
70356079690200,HTTP,282,0
70356094805200,HTTP,282,0
70356110262200,HTTP,282,0
70356126196800,HTTP,282,0
70356141019400,HTTP,282,0
70356156666800,HTTP,282,0
70356172955700,HTTP,282,0
70356188566600,HTTP,282,0
70356203398400,HTTP,282,0
70356219101500,HTTP,282,0
70356233849400,HTTP,282,0
70356250822300,HTTP,282,0
70356267588600,HTTP,282,0
70356283097200,HTTP,282,0
70356298532300,HTTP,282,0
70356313493500,HTTP,282,0
70356329905800,HTTP,282,0
70356345374600,HTTP,282,0
70356362789300,HTTP,282,0
70356380936400,HTTP,282,0
70356395878100,HTTP,282,0
70356410750200,HTTP,282,0
70356425006400,HTTP,282,0
70356442074400,HTTP,282,0
70356465508600,HTTP,282,0
70356485548200,HTTP,282,0
