Timestamp,Protocol,Payload Size (bytes),Device Active Time (ms),Client IP,Client Port,Header Size (bytes),QoS / Method
79111406541200,HTTP,2273,0,::ffff:10.85.52.177,54500,198,POST
79111449008300,HTTP,2273,0,::ffff:10.85.52.177,54752,198,POST
79111497918800,HTTP,2273,0,::ffff:10.85.52.177,53418,198,POST
79111576757600,HTTP,2273,0,::ffff:10.85.52.177,55438,198,POST
79111618791800,HTTP,2273,0,::ffff:10.85.52.177,61686,198,POST
79111663897800,HTTP,2273,0,::ffff:10.85.52.177,63431,198,POST
79111712025300,HTTP,2273,0,::ffff:10.85.52.177,63405,198,POST
79111755648000,HTTP,2273,0,::ffff:10.85.52.177,54326,198,POST
79111831602100,HTTP,2273,0,::ffff:10.85.52.177,55946,198,POST
79111877849500,HTTP,2273,0,::ffff:10.85.52.177,56124,198,POST
79111925914100,HTTP,2273,0,::ffff:10.85.52.177,62507,198,POST
79111967011200,HTTP,2273,0,::ffff:10.85.52.177,58201,198,POST
79112014841600,HTTP,2273,0,::ffff:10.85.52.177,60888,198,POST
79117164224800,MQTT,2090,0,N/A (Broker),N/A,15,0
79117181487900,MQTT,2090,0,N/A (Broker),N/A,15,0
79117203378700,MQTT,2090,0,N/A (Broker),N/A,15,0
79117220524200,MQTT,2090,0,N/A (Broker),N/A,15,0
79117234098300,MQTT,2090,0,N/A (Broker),N/A,15,0
79117248051200,MQTT,2090,0,N/A (Broker),N/A,15,0
79117264375000,MQTT,2090,0,N/A (Broker),N/A,15,0
79117277286400,MQTT,2090,0,N/A (Broker),N/A,15,0
79117295843700,MQTT,2090,0,N/A (Broker),N/A,15,0
79117314467900,MQTT,2090,0,N/A (Broker),N/A,15,0
79117328553100,MQTT,2090,0,N/A (Broker),N/A,15,0
79117344264800,MQTT,2090,0,N/A (Broker),N/A,15,0
79117370260000,MQTT,2090,0,N/A (Broker),N/A,15,0
79117386138900,MQTT,2090,0,N/A (Broker),N/A,15,0
79117412088900,MQTT,2090,0,N/A (Broker),N/A,15,0
79117439778500,MQTT,2090,0,N/A (Broker),N/A,15,0
79117456232300,MQTT,2090,0,N/A (Broker),N/A,15,0
79117484407700,MQTT,2090,0,N/A (Broker),N/A,15,0
79117512164200,MQTT,2090,0,N/A (Broker),N/A,15,0
79117528203600,MQTT,2090,0,N/A (Broker),N/A,15,0
79117549709500,MQTT,2090,0,N/A (Broker),N/A,15,0
79117569373700,MQTT,2090,0,N/A (Broker),N/A,15,0
79117591360800,MQTT,2090,0,N/A (Broker),N/A,15,0
79117613322300,MQTT,2090,0,N/A (Broker),N/A,15,0
79117640269300,MQTT,2090,0,N/A (Broker),N/A,15,0
79117661846900,MQTT,2090,0,N/A (Broker),N/A,15,0
79117683788200,MQTT,2090,0,N/A (Broker),N/A,15,0
79117712566400,MQTT,2090,0,N/A (Broker),N/A,15,0
79117733075300,MQTT,2090,0,N/A (Broker),N/A,15,0
79117749878200,MQTT,2090,0,N/A (Broker),N/A,15,0
79117769195300,MQTT,2090,0,N/A (Broker),N/A,15,0
79117785089500,MQTT,2090,0,N/A (Broker),N/A,15,0
